Aber Mawr Bay,1
Aberaeron - Harbour (Fourth Groyne North),5
Aberafan,3
Aberarth,3
Abercastle,5
Aberdaron Beach,1
Aberdeen - Ballroom,3
Aberdour - Silver Sands,2
Aberdyfi,3
Abereiddy Bay - Slipway,1
Abererch,3
Aberffraw Bay (Traeth Mawr),1
Abergele - Pensarn,1
Aberporth - Traeth - y - Dyffryn,5
Abersoch,1
Aberystwyth - Harbour,5
Abrahams Hole,5
Achmelvich Bay,1
Afan. Port Talbot,5
Afon Wen,5
Ainsdale,3
Aldeburgh,5
Aldingham,5
Allhallows,5
Allonby,3
Allonby - South,3
Alnmouth,5
Amble Links,1
Amroth,1
Anderby,1
Annan,5
Ansteys Cove,1
Anstruther. Billow Ness,2
Arbroath - Victoria Park,1
Arch Bay,5
Archirondel,1
Ardrossan (Boydston),5
Ardwell Bay,5
Arnside,5
Askam - in - Furness,3
Avoch,5
Ayr (South),3
Babbacombe Bay. Torquay,1
Baglan. Neath,5
Ballinskelligs,5
Ballybunion North beach,5
Ballycastle,2
Ballygally,3
Ballyhalbert,5
Ballyheigue,5
Ballyholme,3
Ballywalter,1
Balmedie Country Park,3
Bamburgh Castle,1
Banff Bridge,5
Banna Strand,5
Bantham,2
Barafundle Bay,1
Barassie,3
Bardsea,5
Barleycove,5
Barmouth,2
Barmston,5
Barricane Bay  Woolacombe,1
Barrow - in - Furness,5
Barry - Little Island Bay,5
Beachlands Central,1
Beacon Cove,1
Beadnell Bay,1
Beaumaris,1
Beauport,1
Beer,1
Beesands,5
Bembridge,3
Bendricks Beach,5
Benllech,1
Berrow - North of Unity Farm,1
Bertra,5
Berwick - upon - Tweed,5
Bexhill,3
Bigbury on Sea (North),1
Birling Gap,1
Bispham,3
Blackhall,5
Blackpool - Central,4
Blackrock,5
Blackwaterfoot,5
Blue Anchor West,1
Blundellsands,5
Blyth South Beach,1
Bognor Regis - East,1
Bonmahon,5
Bonne Nuit,1
Booby's Beach,5
Bordeaux,2
Borth,1
Boscastle,5
Bossiney Haven,5
Botany Bay,1
Bouley Bay,1
Bournemouth - Alum Chine,1
Bovisand Bay,1
Bowleaze Cove,2
Bracelet Bay,1
Bracklesham Bay,1
Brandy Cove,5
Branscombe,5
Braye Bay,5
Braystones,5
Brean,1
Brean Beach at Brean Farm,5
Bridlington - North Beach,1
Brighouse Bay. Borgue,3
Brightlingsea,1
Brighton - Kemp Town,1
Brittas Bay North,5
Broad Sands,5
Broadhaven,1
Broadhaven South,1
Broadsands,1
Broadsands Beach,1
Broadstairs - East Cliff,5
Brodick Bay,5
Broomhill Sands,5
Brora Beach,3
Broughton Bay,2
Broughty Ferry,1
Brown`s Bay,3
Buckie. Strathlene,5
Bude - Crooklets,1
Budleigh Salterton,3
Bull Bay,5
Bundoran,5
Burgh Island,5
Burghead,5
Burnham Jetty,3
Burntisland,2
Burry Port Beach - East,3
Cadgwith Cove,5
Caerfai Bay,1
Caister Point,1
Calshot,1
Camber,1
